match_id,date,league,home_team,away_team,city,venue,broadcaster,time_slot,viewership_tv_millions,viewership_digital_millions,social_buzz_volume,sentiment_score,brand_recall_score,ad_integration_score,on_screen_time_seconds,sponsor_category,ad_format,sponsor_spend_crores_inr,sponsor_value_est_crores_inr,roi_estimated
IPL2018-03171,18-04-2018,IPL,Royal Challengers Bengaluru,Punjab Kings,Lucknow,Narendra Modi Stadium,Star Sports,Prime,7.29,8.51,764150,0.554,95,0.449,4199,Telecom,LED perimeter,2.62,92.93,34.47
IPL2018-03172,29-03-2018,IPL,Royal Challengers Bengaluru,Lucknow Super Giants,Delhi,Arun Jaitley Stadium,Star Sports,Prime,7.65,9.17,1282883,0.425,95,0.576,2346,EdTech,Jersey sleeve,6.59,102.78,14.6
IPL2018-03173,09-05-2018,IPL,Royal Challengers Bengaluru,Mumbai Indians,Lucknow,Wankhede Stadium,Viacom18 / JioCinema,Prime,6.71,9.38,988085,0.356,95,0.56,2956,BFSI,LED perimeter,3.69,94.33,24.56
IPL2018-03174,26-04-2018,IPL,Delhi Capitals,Lucknow Super Giants,Chandigarh,BRSABV Ekana Stadium,Viacom18 / JioCinema,Prime,7.22,8.36,844288,0.619,95,0.726,3470,Gaming,Jersey sleeve,5.35,94.78,16.72
IPL2018-03175,27-04-2018,IPL,Sunrisers Hyderabad,Rajasthan Royals,Mumbai,Wankhede Stadium,Viacom18 / JioCinema,Afternoon,2.06,3.01,224065,0.278,95,0.935,3414,Consumer Goods,Jersey sleeve,3.16,29.05,8.19
IPL2018-03176,11-04-2018,IPL,Punjab Kings,Delhi Capitals,Ahmedabad,BRSABV Ekana Stadium,Star Sports,Prime,7.27,6.89,801939,0.456,95,0.892,2670,Beverages,Jersey sleeve,5.62,87.84,14.63
IPL2018-03177,07-04-2018,IPL,Rajasthan Royals,Kolkata Knight Riders,Mumbai,M. A. Chidambaram Stadium,DD Sports,Prime,8.94,8.9,1252922,0.443,95,0.942,2281,Fintech,On-ground signage,4.19,121.07,27.89
IPL2018-03178,10-06-2018,IPL,Lucknow Super Giants,Mumbai Indians,Lucknow,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,2.82,3.81,484350,0.351,95,0.528,2436,Fintech,Jersey front,1.18,30.16,24.56
IPL2018-03179,07-04-2018,IPL,Gujarat Titans,Rajasthan Royals,Ahmedabad,Eden Gardens,Viacom18 / JioCinema,Late,5.05,5.54,657914,0.293,95,0.606,2479,Auto,Presenter title,1.53,56.25,35.76
IPL2018-03180,27-03-2018,IPL,Chennai Super Kings,Punjab Kings,Mumbai,Sawai Mansingh Stadium,Viacom18 / JioCinema,Prime,6.81,8.24,1030433,0.436,95,0.565,1054,Consumer Goods,Digital overlay,2.03,87.58,42.14
IPL2018-03181,19-04-2018,IPL,Sunrisers Hyderabad,Delhi Capitals,Chandigarh,Arun Jaitley Stadium,DD Sports,Prime,8.3,9.86,1006324,0.495,95,0.728,2736,Telecom,LED perimeter,3.21,120.45,36.52
IPL2018-03182,15-04-2018,IPL,Chennai Super Kings,Sunrisers Hyderabad,Mumbai,IS Bindra Stadium,DD Sports,Afternoon,3.04,2.88,408613,0.577,95,0.803,3911,Auto,Jersey sleeve,2.04,35.11,16.21
IPL2018-03183,14-05-2018,IPL,Chennai Super Kings,Delhi Capitals,Delhi,BRSABV Ekana Stadium,Star Sports,Prime,6.36,8.35,684535,0.358,95,0.649,1859,Gaming,Jersey front,5.99,86.67,13.47
IPL2018-03184,12-04-2018,IPL,Sunrisers Hyderabad,Mumbai Indians,Chennai,Rajiv Gandhi Intl. Stadium,DD Sports,Afternoon,2.78,2.06,261156,0.357,95,0.585,2820,Auto,Broadcast L-band,4.38,25.65,4.86
IPL2018-03185,01-05-2018,IPL,Sunrisers Hyderabad,Royal Challengers Bengaluru,Ahmedabad,Sawai Mansingh Stadium,Viacom18 / JioCinema,Afternoon,3.09,3.96,515375,0.634,95,0.779,1630,Auto,LED perimeter,3.1,35.84,10.56
IPL2018-03186,28-05-2018,IPL,Royal Challengers Bengaluru,Lucknow Super Giants,Mumbai,IS Bindra Stadium,DD Sports,Prime,9.23,9.74,991326,0.395,95,0.699,3356,Auto,Broadcast L-band,3.58,127.51,34.62
IPL2018-03187,24-04-2018,IPL,Chennai Super Kings,Kolkata Knight Riders,Kolkata,M. A. Chidambaram Stadium,DD Sports,Late,5.44,5.1,515150,0.411,95,0.897,960,Fintech,Presenter title,7.01,56.63,7.08
IPL2018-03188,30-03-2018,IPL,Chennai Super Kings,Sunrisers Hyderabad,Jaipur,Narendra Modi Stadium,Star Sports,Prime,8.32,9.27,798459,0.597,95,0.432,2351,Auto,Broadcast L-band,1.54,108.09,69.19
IPL2018-03189,25-04-2018,IPL,Royal Challengers Bengaluru,Punjab Kings,Delhi,Narendra Modi Stadium,Star Sports,Afternoon,2.74,2.94,330809,0.253,95,0.842,1707,Consumer Goods,Jersey front,5.25,31.67,5.03
IPL2018-03190,08-04-2018,IPL,Sunrisers Hyderabad,Delhi Capitals,Kolkata,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,3.38,3.45,302736,0.307,95,0.816,2860,Fintech,Jersey front,3.93,38.75,8.86
IPL2018-03191,21-04-2018,IPL,Kolkata Knight Riders,Gujarat Titans,Kolkata,IS Bindra Stadium,Star Sports,Afternoon,2.54,2,256501,0.618,95,0.92,976,Consumer Goods,Presenter title,13.68,26.6,0.94
IPL2018-03192,15-04-2018,IPL,Chennai Super Kings,Royal Challengers Bengaluru,Chandigarh,Wankhede Stadium,DD Sports,Prime,11.06,11.72,1701927,0.379,95,0.907,2094,Fintech,Jersey front,5.88,172.63,28.36
IPL2018-03193,27-03-2018,IPL,Sunrisers Hyderabad,Punjab Kings,Delhi,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Afternoon,2.88,1.41,275528,0.387,95,0.49,3404,Telecom,Jersey sleeve,4.06,21.35,4.26
IPL2018-03194,12-04-2018,IPL,Lucknow Super Giants,Chennai Super Kings,Ahmedabad,IS Bindra Stadium,DD Sports,Prime,6.63,8.81,677199,0.397,95,0.785,3973,Gaming,On-ground signage,3.12,93.72,29.04
IPL2018-03195,29-03-2018,IPL,Rajasthan Royals,Punjab Kings,Chandigarh,Wankhede Stadium,Star Sports,Afternoon,3.61,3.23,375013,0.412,95,0.762,3192,BFSI,Jersey sleeve,4.7,35.35,6.52
IPL2018-03196,06-04-2018,IPL,Lucknow Super Giants,Kolkata Knight Riders,Lucknow,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,6.31,8.08,715022,0.396,95,0.817,1657,Fintech,Broadcast L-band,2.14,85,38.72
IPL2018-03197,09-05-2018,IPL,Gujarat Titans,Mumbai Indians,Delhi,Narendra Modi Stadium,Viacom18 / JioCinema,Prime,7.8,7.89,705605,0.468,95,0.989,1190,BFSI,On-ground signage,1.4,102.69,72.35
IPL2018-03198,17-04-2018,IPL,Kolkata Knight Riders,Lucknow Super Giants,Jaipur,Rajiv Gandhi Intl. Stadium,DD Sports,Prime,7.54,8.04,700906,0.601,95,0.466,2400,E-commerce,Digital overlay,3.62,91.19,24.19
IPL2018-03199,29-04-2018,IPL,Sunrisers Hyderabad,Lucknow Super Giants,Lucknow,BRSABV Ekana Stadium,Viacom18 / JioCinema,Prime,7.64,8.37,1182590,0.355,95,0.778,4018,Beverages,Digital overlay,4,99.62,23.9
IPL2018-03200,18-04-2018,IPL,Kolkata Knight Riders,Rajasthan Royals,Chennai,IS Bindra Stadium,Viacom18 / JioCinema,Afternoon,2.62,2.56,277892,0.38,95,0.758,2967,Gaming,Presenter title,1.72,27.02,14.71
IPL2018-03201,09-04-2018,IPL,Mumbai Indians,Punjab Kings,Delhi,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,7.1,8.17,880602,0.455,95,0.404,1043,Consumer Goods,Jersey sleeve,1.33,84.56,62.58
IPL2018-03202,21-04-2018,IPL,Kolkata Knight Riders,Punjab Kings,Delhi,Arun Jaitley Stadium,Star Sports,Late,5.1,4.63,589134,0.639,95,0.795,2912,Gaming,On-ground signage,4.42,53.16,11.03
IPL2018-03203,23-03-2018,IPL,Kolkata Knight Riders,Lucknow Super Giants,Ahmedabad,BRSABV Ekana Stadium,DD Sports,Late,3.88,6.36,708926,0.415,95,0.698,2896,Auto,On-ground signage,4.8,53.09,10.06
IPL2018-03204,04-05-2018,IPL,Chennai Super Kings,Kolkata Knight Riders,Mumbai,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Prime,6.93,7.72,1075741,0.343,95,0.864,2441,Gaming,On-ground signage,2.28,90.31,38.61
IPL2018-03205,01-04-2018,IPL,Punjab Kings,Delhi Capitals,Mumbai,BRSABV Ekana Stadium,Star Sports,Late,5.44,6.35,879528,0.209,95,0.853,864,Telecom,LED perimeter,1.62,67.84,40.88
IPL2018-03206,27-04-2018,IPL,Rajasthan Royals,Sunrisers Hyderabad,Chennai,Wankhede Stadium,Star Sports,Prime,8.05,8.7,833906,0.36,95,0.426,2166,Fintech,Broadcast L-band,6.2,100.01,15.13
IPL2018-03207,09-04-2018,IPL,Chennai Super Kings,Rajasthan Royals,Kolkata,M. A. Chidambaram Stadium,DD Sports,Prime,8.2,7.71,840130,0.347,95,0.868,2948,Fintech,Digital overlay,5.4,101.94,17.88
IPL2018-03208,27-03-2018,IPL,Kolkata Knight Riders,Rajasthan Royals,Chennai,Eden Gardens,Viacom18 / JioCinema,Prime,8.38,10.17,993007,0.308,95,0.938,4110,Auto,Jersey front,3.62,128.23,34.42
IPL2018-03209,03-04-2018,IPL,Sunrisers Hyderabad,Delhi Capitals,Mumbai,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Prime,7.9,9.45,1022196,0.459,95,0.779,4133,Telecom,LED perimeter,12.16,111.81,8.19
IPL2018-03210,27-04-2018,IPL,Rajasthan Royals,Delhi Capitals,Ahmedabad,Sawai Mansingh Stadium,Viacom18 / JioCinema,Late,5.13,6.43,826244,0.419,95,0.922,1356,BFSI,LED perimeter,4.11,64.77,14.76
IPL2018-03211,27-06-2018,IPL,Punjab Kings,Delhi Capitals,Delhi,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,7.44,7.98,760469,0.622,95,0.525,1097,Auto,Broadcast L-band,3.27,91.11,26.86
IPL2018-03212,14-04-2018,IPL,Punjab Kings,Rajasthan Royals,Hyderabad,Wankhede Stadium,Viacom18 / JioCinema,Prime,7.48,7.98,1086787,0.477,95,0.941,2048,Telecom,On-ground signage,2.29,99.77,42.57
IPL2018-03213,20-06-2018,IPL,Chennai Super Kings,Rajasthan Royals,Jaipur,Eden Gardens,Star Sports,Afternoon,3.01,1.95,243029,0.572,95,0.962,2201,Telecom,Jersey front,2.85,31.14,9.93
IPL2018-03214,23-03-2018,IPL,Delhi Capitals,Kolkata Knight Riders,Lucknow,Sawai Mansingh Stadium,Star Sports,Prime,8.13,7.97,1100288,0.43,95,0.571,3222,Fintech,Broadcast L-band,1.64,97.8,58.63
IPL2018-03215,10-04-2018,IPL,Chennai Super Kings,Lucknow Super Giants,Lucknow,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Prime,8.1,8.9,1228993,0.346,95,0.607,1230,Gaming,LED perimeter,2.32,104.7,44.13
IPL2018-03216,14-04-2018,IPL,Rajasthan Royals,Lucknow Super Giants,Hyderabad,Sawai Mansingh Stadium,Star Sports,Afternoon,2.73,2.96,402206,0.525,95,0.827,3665,Consumer Goods,On-ground signage,7.98,31.31,2.92
IPL2018-03217,29-04-2018,IPL,Rajasthan Royals,Sunrisers Hyderabad,Mumbai,BRSABV Ekana Stadium,DD Sports,Afternoon,3.71,3.38,451583,0.315,95,0.602,2242,Beverages,Jersey sleeve,3.68,35.4,8.62
IPL2018-03218,04-04-2018,IPL,Royal Challengers Bengaluru,Chennai Super Kings,Chennai,Arun Jaitley Stadium,DD Sports,Late,6.4,8.67,815049,0.59,95,0.994,4048,Beverages,On-ground signage,4.55,95.15,19.91
IPL2018-03219,23-04-2018,IPL,Chennai Super Kings,Rajasthan Royals,Delhi,Narendra Modi Stadium,DD Sports,Afternoon,2.55,3.25,400920,0.361,95,0.573,2615,E-commerce,Broadcast L-band,1.35,27.69,19.51
IPL2018-03220,11-04-2018,IPL,Chennai Super Kings,Punjab Kings,Delhi,BRSABV Ekana Stadium,DD Sports,Afternoon,1.75,2.42,219813,0.54,95,0.417,3275,BFSI,Presenter title,8.42,21.18,1.52
IPL2018-03221,20-05-2018,IPL,Sunrisers Hyderabad,Rajasthan Royals,Delhi,Arun Jaitley Stadium,DD Sports,Late,6.3,6.26,565215,0.496,95,0.891,3863,Telecom,Digital overlay,4.86,76.42,14.72
IPL2018-03222,19-04-2018,IPL,Gujarat Titans,Chennai Super Kings,Hyderabad,Narendra Modi Stadium,Viacom18 / JioCinema,Afternoon,3.44,2.96,452169,0.334,95,0.426,1104,Auto,Broadcast L-band,2.87,27.68,8.64
IPL2018-03223,29-07-2018,IPL,Mumbai Indians,Kolkata Knight Riders,Ahmedabad,Sawai Mansingh Stadium,DD Sports,Prime,9.95,11.1,1220590,0.596,95,0.985,2835,Consumer Goods,Jersey sleeve,7.77,153.21,18.72
IPL2018-03224,11-04-2018,IPL,Rajasthan Royals,Mumbai Indians,Ahmedabad,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,7.43,8.65,1019492,0.681,95,0.76,911,Fintech,On-ground signage,1.4,99.54,70.1
IPL2018-03225,17-05-2018,IPL,Kolkata Knight Riders,Mumbai Indians,Jaipur,M. A. Chidambaram Stadium,Star Sports,Prime,10.26,10.18,1537083,0.361,95,0.664,1950,Auto,LED perimeter,11.65,142.37,11.22
IPL2018-03226,29-05-2018,IPL,Kolkata Knight Riders,Rajasthan Royals,Hyderabad,BRSABV Ekana Stadium,Viacom18 / JioCinema,Prime,7.1,7.55,693892,0.372,95,0.84,1509,E-commerce,Broadcast L-band,3.02,90.08,28.83
IPL2018-03227,17-03-2018,IPL,Mumbai Indians,Lucknow Super Giants,Mumbai,Narendra Modi Stadium,DD Sports,Prime,7.6,7.86,979736,0.459,95,0.83,1811,E-commerce,On-ground signage,1.62,96.15,58.35
IPL2018-03228,04-05-2018,IPL,Chennai Super Kings,Kolkata Knight Riders,Ahmedabad,Sawai Mansingh Stadium,Star Sports,Afternoon,2.54,1.74,248191,0.555,95,0.633,3892,Fintech,Presenter title,2.31,23.19,9.04
IPL2018-03229,10-04-2018,IPL,Lucknow Super Giants,Royal Challengers Bengaluru,Chandigarh,Wankhede Stadium,Star Sports,Prime,7.18,8.75,1186295,0.598,95,0.528,1535,Telecom,Broadcast L-band,1.71,91.64,52.59
IPL2018-03230,28-03-2018,IPL,Mumbai Indians,Gujarat Titans,Chandigarh,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Late,4.43,5.77,560738,0.408,95,0.907,2411,Gaming,Digital overlay,5.45,58.51,9.74
IPL2018-03231,20-05-2018,IPL,Mumbai Indians,Kolkata Knight Riders,Chandigarh,IS Bindra Stadium,Viacom18 / JioCinema,Prime,9.76,10.4,1129515,0.467,95,0.953,2089,Fintech,Broadcast L-band,2.68,142.26,52.08
IPL2018-03232,05-04-2018,IPL,Sunrisers Hyderabad,Rajasthan Royals,Chandigarh,BRSABV Ekana Stadium,Viacom18 / JioCinema,Late,6.22,7.36,836800,0.409,95,0.997,3231,EdTech,Presenter title,1.06,81.29,75.69
IPL2018-03233,22-03-2018,IPL,Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,Eden Gardens,DD Sports,Afternoon,3.55,3.16,322100,0.401,95,0.618,1289,Beverages,Digital overlay,1.43,31.38,20.94
IPL2018-03234,20-04-2018,IPL,Sunrisers Hyderabad,Lucknow Super Giants,Mumbai,Sawai Mansingh Stadium,DD Sports,Prime,7.99,9.02,995668,0.387,95,0.746,1822,Fintech,On-ground signage,1.35,107.5,78.63
IPL2018-03235,26-05-2018,IPL,Delhi Capitals,Sunrisers Hyderabad,Delhi,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Afternoon,2.95,3.48,357579,0.287,95,0.989,2735,Consumer Goods,Broadcast L-band,5.56,38.02,5.84
IPL2018-03236,28-03-2018,IPL,Punjab Kings,Kolkata Knight Riders,Kolkata,M. A. Chidambaram Stadium,DD Sports,Late,4.34,5.62,487821,0.554,95,0.647,3091,EdTech,LED perimeter,3.99,53.23,12.34
IPL2018-03237,08-05-2018,IPL,Kolkata Knight Riders,Gujarat Titans,Kolkata,Wankhede Stadium,Viacom18 / JioCinema,Prime,7.94,6.73,1040735,0.463,95,0.874,1965,Consumer Goods,Digital overlay,1.87,91.04,47.68
IPL2018-03238,20-03-2018,IPL,Punjab Kings,Kolkata Knight Riders,Chennai,Eden Gardens,DD Sports,Late,4.78,6.25,659862,0.634,95,0.964,1515,BFSI,Presenter title,2.66,61.29,22.04
IPL2018-03239,29-05-2018,IPL,Chennai Super Kings,Lucknow Super Giants,Jaipur,Narendra Modi Stadium,DD Sports,Prime,7.16,9.01,861979,0.55,95,0.511,1771,Fintech,Jersey front,3.23,96.47,28.87
IPL2018-03240,25-04-2018,IPL,Gujarat Titans,Kolkata Knight Riders,Delhi,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,2.81,2.51,241432,0.403,95,0.835,4061,Consumer Goods,Jersey sleeve,2.62,29.84,10.39
IPL2018-03241,27-03-2018,IPL,Mumbai Indians,Gujarat Titans,Delhi,Rajiv Gandhi Intl. Stadium,Star Sports,Prime,7.23,9.19,767170,0.314,95,0.822,727,BFSI,On-ground signage,2.4,104.25,42.44
IPL2018-03242,05-05-2018,IPL,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,Rajiv Gandhi Intl. Stadium,DD Sports,Prime,9.1,8.61,1373483,0.675,95,0.633,735,EdTech,LED perimeter,2.39,112.67,46.14
IPL2018-03243,05-04-2018,IPL,Royal Challengers Bengaluru,Rajasthan Royals,Ahmedabad,Eden Gardens,Viacom18 / JioCinema,Afternoon,3.07,2.7,433959,0.247,95,0.989,855,EdTech,Broadcast L-band,8.51,32.91,2.87
IPL2018-03244,31-03-2018,IPL,Royal Challengers Bengaluru,Rajasthan Royals,Chennai,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Afternoon,2.12,2.89,358825,0.41,95,0.92,3280,Auto,On-ground signage,2.56,30.22,10.8
IPL2018-03245,05-04-2018,IPL,Punjab Kings,Royal Challengers Bengaluru,Jaipur,M. A. Chidambaram Stadium,Star Sports,Afternoon,1.9,2.1,243026,0.412,95,0.997,3878,Gaming,LED perimeter,7.93,27.48,2.47
IPL2018-03246,01-05-2018,IPL,Rajasthan Royals,Mumbai Indians,Chennai,M. A. Chidambaram Stadium,DD Sports,Afternoon,2.49,3.5,428467,0.373,95,0.73,3693,BFSI,LED perimeter,2.71,33.22,11.26
IPL2018-03247,30-03-2018,IPL,Gujarat Titans,Lucknow Super Giants,Jaipur,Wankhede Stadium,Star Sports,Late,4.18,5.93,730416,0.349,95,0.533,2682,Telecom,Jersey front,4.68,52.66,10.25
IPL2018-03248,18-03-2018,IPL,Delhi Capitals,Royal Challengers Bengaluru,Jaipur,Sawai Mansingh Stadium,Viacom18 / JioCinema,Late,4.75,6.39,610939,0.304,95,0.568,897,E-commerce,Jersey sleeve,5.94,57.42,8.67
IPL2018-03249,06-04-2018,IPL,Chennai Super Kings,Delhi Capitals,Ahmedabad,IS Bindra Stadium,Viacom18 / JioCinema,Late,4.96,5.98,691507,0.364,95,0.875,3364,Gaming,LED perimeter,3.4,63.2,17.59
IPL2018-03250,22-05-2018,IPL,Mumbai Indians,Lucknow Super Giants,Kolkata,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Prime,7.47,8.41,1249330,0.445,95,0.617,1387,Beverages,Digital overlay,2.69,97.3,35.17
IPL2018-03251,21-05-2018,IPL,Delhi Capitals,Royal Challengers Bengaluru,Delhi,Arun Jaitley Stadium,Viacom18 / JioCinema,Afternoon,3.21,1.71,250458,0.488,95,0.529,3764,BFSI,Jersey front,4.73,23.58,3.99
IPL2018-03252,05-04-2018,IPL,Kolkata Knight Riders,Rajasthan Royals,Ahmedabad,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Late,5.28,4.6,649821,0.388,95,0.953,3484,E-commerce,On-ground signage,2.7,57.93,20.46
IPL2018-03253,04-04-2018,IPL,Kolkata Knight Riders,Mumbai Indians,Chennai,IS Bindra Stadium,Star Sports,Afternoon,2.61,3.08,410808,0.387,95,0.605,1498,EdTech,Digital overlay,3.05,27.73,8.09
IPL2018-03254,04-04-2018,IPL,Sunrisers Hyderabad,Mumbai Indians,Delhi,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Late,5.05,5.77,639151,0.326,95,0.449,727,EdTech,Jersey front,5.11,55,9.76
IPL2018-03255,03-04-2018,IPL,Royal Challengers Bengaluru,Gujarat Titans,Ahmedabad,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Afternoon,2.73,3.42,359794,0.471,95,0.74,924,Auto,Broadcast L-band,2.38,32.15,12.51
IPL2018-03256,04-04-2018,IPL,Sunrisers Hyderabad,Chennai Super Kings,Delhi,Rajiv Gandhi Intl. Stadium,Viacom18 / JioCinema,Late,4.61,6.77,660076,0.457,95,0.73,3156,EdTech,On-ground signage,6.63,63.46,8.57
IPL2018-03257,21-04-2018,IPL,Rajasthan Royals,Punjab Kings,Hyderabad,IS Bindra Stadium,DD Sports,Afternoon,1.99,2.59,274144,0.496,95,0.653,3023,Consumer Goods,Digital overlay,4,24.95,5.24
IPL2018-03258,23-05-2018,IPL,Sunrisers Hyderabad,Royal Challengers Bengaluru,Kolkata,M. A. Chidambaram Stadium,DD Sports,Late,5.03,5.96,527614,0.386,95,0.668,4115,Auto,Digital overlay,3.3,59.25,16.95
IPL2018-03259,30-03-2018,IPL,Royal Challengers Bengaluru,Gujarat Titans,Mumbai,Wankhede Stadium,Star Sports,Late,5.01,5.55,762694,0.342,95,0.532,3182,Telecom,Digital overlay,4,54.96,12.74
IPL2018-03260,01-04-2018,IPL,Mumbai Indians,Delhi Capitals,Mumbai,Wankhede Stadium,DD Sports,Afternoon,2,2.16,252165,0.448,95,0.577,4195,Beverages,Broadcast L-band,1.85,21.16,10.44
IPL2018-03261,24-04-2018,IPL,Rajasthan Royals,Royal Challengers Bengaluru,Ahmedabad,M. A. Chidambaram Stadium,DD Sports,Prime,8.67,10.76,1511449,0.513,95,0.692,1864,BFSI,Jersey front,5.51,132,22.96
IPL2018-03262,03-05-2018,IPL,Sunrisers Hyderabad,Delhi Capitals,Delhi,Eden Gardens,Viacom18 / JioCinema,Prime,7.53,8.35,830084,0.344,95,0.983,3086,E-commerce,Broadcast L-band,4.07,103.98,24.55
IPL2018-03263,24-03-2018,IPL,Mumbai Indians,Kolkata Knight Riders,Delhi,Eden Gardens,DD Sports,Late,6.29,7.17,643218,0.376,95,0.988,1416,BFSI,Broadcast L-band,10.08,80.29,6.97
IPL2018-03264,08-06-2018,IPL,Chennai Super Kings,Lucknow Super Giants,Chandigarh,Arun Jaitley Stadium,DD Sports,Prime,6.7,9.61,920046,0.304,95,0.452,3511,Consumer Goods,Broadcast L-band,4.51,96.57,20.41
IPL2018-03265,09-04-2018,IPL,Lucknow Super Giants,Delhi Capitals,Delhi,Arun Jaitley Stadium,Viacom18 / JioCinema,Prime,7.88,8.74,985124,0.31,95,0.944,4169,EdTech,On-ground signage,2.73,111.19,39.73
IPL2018-03266,25-03-2018,IPL,Mumbai Indians,Kolkata Knight Riders,Lucknow,IS Bindra Stadium,DD Sports,Prime,9.38,10.93,1005802,0.385,95,0.664,2855,Gaming,Digital overlay,1.77,140.67,78.47
IPL2018-03267,24-03-2018,IPL,Delhi Capitals,Rajasthan Royals,Lucknow,Sawai Mansingh Stadium,Viacom18 / JioCinema,Prime,7.26,8.11,906167,0.35,95,0.675,3736,E-commerce,Presenter title,2.35,93.94,38.97
IPL2018-03268,23-03-2018,IPL,Royal Challengers Bengaluru,Lucknow Super Giants,Mumbai,Wankhede Stadium,DD Sports,Prime,8.7,9.05,1166380,0.547,95,0.616,2954,Beverages,Jersey front,5.45,115,20.1
IPL2018-03269,16-05-2018,IPL,Gujarat Titans,Chennai Super Kings,Kolkata,Sawai Mansingh Stadium,Star Sports,Afternoon,3.03,3.19,261903,0.454,95,0.928,1059,BFSI,Jersey sleeve,3.75,34.68,8.25
IPL2018-03270,17-04-2018,IPL,Gujarat Titans,Mumbai Indians,Hyderabad,Eden Gardens,DD Sports,Prime,6.51,7.18,958367,0.603,95,0.674,1444,BFSI,LED perimeter,1.54,77.96,49.62
IPL2018-03271,17-05-2018,IPL,Chennai Super Kings,Gujarat Titans,Ahmedabad,Wankhede Stadium,DD Sports,Afternoon,2.8,2.33,393253,0.604,95,0.403,4127,Beverages,Presenter title,1.44,23.79,15.52
IPL2018-03272,13-04-2018,IPL,Delhi Capitals,Lucknow Super Giants,Ahmedabad,Wankhede Stadium,DD Sports,Afternoon,2.65,2.87,284882,0.453,95,0.961,3663,Telecom,Presenter title,6.82,31.63,3.64
IPL2018-03273,15-05-2018,IPL,Rajasthan Royals,Kolkata Knight Riders,Jaipur,IS Bindra Stadium,DD Sports,Late,4.2,6.52,769981,0.21,95,0.984,2563,EdTech,Jersey sleeve,3.08,61.63,19.01
IPL2018-03274,12-04-2018,IPL,Chennai Super Kings,Lucknow Super Giants,Delhi,BRSABV Ekana Stadium,DD Sports,Afternoon,2.51,3.29,339411,0.499,95,0.659,830,Gaming,Jersey sleeve,3.19,30.35,8.51
IPL2018-03275,28-04-2018,IPL,Punjab Kings,Gujarat Titans,Jaipur,Wankhede Stadium,Viacom18 / JioCinema,Afternoon,2.96,2.67,359906,0.588,95,0.662,1524,Gaming,On-ground signage,2.97,30.07,9.12
IPL2018-03276,14-04-2018,IPL,Royal Challengers Bengaluru,Gujarat Titans,Chandigarh,Eden Gardens,Star Sports,Late,4.75,6.07,749109,0.527,95,0.411,2430,Gaming,LED perimeter,3.74,52.55,13.05
IPL2018-03277,11-04-2018,IPL,Royal Challengers Bengaluru,Lucknow Super Giants,Delhi,Wankhede Stadium,DD Sports,Prime,7.96,10.53,965801,0.493,95,0.521,1127,Consumer Goods,Jersey front,4.66,116.06,23.91
IPL2018-03278,31-03-2018,IPL,Punjab Kings,Mumbai Indians,Chennai,BRSABV Ekana Stadium,Viacom18 / JioCinema,Afternoon,1.95,3.62,378932,0.421,95,0.472,2652,Beverages,Broadcast L-band,2.56,25.06,8.79
IPL2018-03279,02-05-2018,IPL,Rajasthan Royals,Chennai Super Kings,Jaipur,M. A. Chidambaram Stadium,DD Sports,Prime,8.04,9.26,800294,0.31,95,0.877,2257,Telecom,Jersey front,5.97,113.71,18.05
IPL2018-03280,28-03-2018,IPL,Mumbai Indians,Delhi Capitals,Lucknow,M. A. Chidambaram Stadium,Viacom18 / JioCinema,Afternoon,2.63,2.62,378015,0.526,95,0.709,770,Consumer Goods,On-ground signage,1.65,26.14,14.84
IPL2018-03281,02-05-2018,IPL,Rajasthan Royals,Gujarat Titans,Hyderabad,Wankhede Stadium,Star Sports,Prime,6.79,8,802633,0.427,95,0.574,3140,E-commerce,LED perimeter,6.59,87.38,12.26
IPL2018-03282,18-04-2018,IPL,Punjab Kings,Gujarat Titans,Chennai,Wankhede Stadium,Star Sports,Prime,7.14,7.18,722938,0.488,95,0.955,1680,E-commerce,Jersey sleeve,4.05,87.45,20.59
IPL2018-03283,03-05-2018,IPL,Sunrisers Hyderabad,Mumbai Indians,Kolkata,Sawai Mansingh Stadium,Viacom18 / JioCinema,Afternoon,2.68,2.68,252064,0.38,95,0.788,3768,E-commerce,LED perimeter,1.81,30.6,15.91
