id,date,team1,team2,venue,winner,day_of_week,team1_rank,team2_rank,weather_temp,weather_rain,ticket_price_avg,historical_avg_attendance,ticket_price_min,ticket_price_max,tickets_sold,dynamic_pricing_flag,holiday_flag,ad_spend,social_media_mentions,search_trends_index,promotion_flag,past_30d_avg_sales,expected_attendance,actual_attendance,venue_capacity,traffic_index,special_event_flag,time_of_day
117,01-06-2008,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Rajasthan Royals,Sunday,7,2,29.0,0.0,447,51401,312,670,50630,1,1,100015,11535,95,1,49419,50810,48469,63139,1,0,Day
118,18-04-2009,Mumbai Indians,Chennai Super Kings,Newlands,Mumbai Indians,Saturday,6,7,34.0,2.0,738,32347,516,1107,35227,0,1,172096,10510,20,1,31028,33313,32553,38924,3,0,Night
119,18-04-2009,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Royal Challengers Bangalore,Saturday,6,2,28.0,1.0,855,40537,598,1282,42250,1,1,157059,7943,76,0,35881,44074,41898,55025,2,0,Night
120,19-04-2009,Kings XI Punjab,Delhi Daredevils,Newlands,Delhi Daredevils,Sunday,7,5,34.0,1.0,808,23595,565,1212,25606,0,1,160687,12954,83,0,19299,21537,22567,40561,6,1,Day
121,19-04-2009,Kolkata Knight Riders,Deccan Chargers,Newlands,Deccan Chargers,Sunday,6,1,23.0,0.0,935,32133,654,1402,29991,1,1,137939,8804,47,0,28997,34219,35812,39353,8,0,Day
122,20-04-2009,Chennai Super Kings,Royal Challengers Bangalore,St George's Park,Chennai Super Kings,Monday,7,6,21.0,1.0,632,25603,442,948,24924,1,0,199213,7565,56,1,22474,24539,24281,39767,3,1,Night
123,21-04-2009,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,Tuesday,7,6,27.0,2.0,818,28403,572,1227,24592,0,0,155878,6984,66,1,27530,28084,28725,34433,8,0,Day
124,22-04-2009,Deccan Chargers,Royal Challengers Bangalore,Newlands,Deccan Chargers,Wednesday,1,6,23.0,0.0,907,39923,634,1360,41957,1,0,112623,5670,95,0,37984,36105,35548,55708,8,0,Day
125,23-04-2009,Delhi Daredevils,Chennai Super Kings,Kingsmead,Delhi Daredevils,Thursday,5,7,20.0,0.0,351,26013,245,526,25819,1,0,125450,19574,56,0,23181,24977,25404,37704,5,0,Night
126,23-04-2009,Rajasthan Royals,Kolkata Knight Riders,Newlands,Rajasthan Royals,Thursday,2,6,25.0,0.0,464,42528,324,696,41207,0,0,143426,10184,68,1,36339,42550,43849,51520,8,0,Day
127,24-04-2009,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Kings XI Punjab,Friday,6,7,28.0,1.0,836,25808,585,1254,22275,1,0,167845,3192,63,0,27021,23517,24567,43613,6,1,Night
128,25-04-2009,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,Saturday,1,6,30.0,0.0,523,34889,366,784,33758,1,1,93585,2248,75,1,31871,34826,34478,40802,5,0,Day
129,26-04-2009,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,Delhi Daredevils,Sunday,6,5,34.0,1.0,571,27942,399,856,29644,1,1,159225,12246,47,1,27161,30328,31187,39300,9,1,Night
130,26-04-2009,Kings XI Punjab,Rajasthan Royals,Newlands,Kings XI Punjab,Sunday,7,2,23.0,0.0,940,47248,658,1410,49860,1,1,114044,13790,98,0,39458,43519,42500,54429,7,1,Night
131,27-04-2009,Chennai Super Kings,Deccan Chargers,Kingsmead,Deccan Chargers,Monday,7,1,20.0,1.0,781,34576,546,1171,29900,1,0,159556,19381,25,0,31858,36404,38189,54196,8,0,Night
132,27-04-2009,Mumbai Indians,Kolkata Knight Riders,St George's Park,Mumbai Indians,Monday,6,6,28.0,2.0,676,50248,473,1014,49031,1,0,52693,4687,80,0,40544,49340,47000,58445,1,0,Night
133,28-04-2009,Delhi Daredevils,Rajasthan Royals,SuperSport Park,Rajasthan Royals,Tuesday,5,2,29.0,2.0,942,25658,659,1413,23706,0,0,145259,5018,39,0,23768,26454,26727,36698,2,1,Night
134,29-04-2009,Kolkata Knight Riders,Royal Challengers Bangalore,Kingsmead,Royal Challengers Bangalore,Wednesday,6,6,20.0,0.0,357,27294,249,535,24992,0,0,75939,12302,97,1,28413,25985,26399,33756,8,1,Day
135,29-04-2009,Kings XI Punjab,Mumbai Indians,Kingsmead,Kings XI Punjab,Wednesday,7,6,32.0,1.0,758,48586,530,1137,41526,0,0,68047,2970,21,1,43535,45277,46128,67746,9,0,Day
136,30-04-2009,Deccan Chargers,Delhi Daredevils,SuperSport Park,Delhi Daredevils,Thursday,1,5,34.0,0.0,809,52926,566,1213,49027,1,0,76105,9389,92,1,42856,49331,47458,68496,4,0,Day
137,30-04-2009,Chennai Super Kings,Rajasthan Royals,SuperSport Park,Chennai Super Kings,Thursday,7,2,22.0,0.0,896,28965,627,1344,25422,0,0,125766,18586,56,0,23396,26476,27637,45611,9,0,Night
138,01-05-2009,Mumbai Indians,Kolkata Knight Riders,Buffalo Park,Mumbai Indians,Friday,6,6,31.0,0.0,844,49619,590,1266,52603,0,0,196779,16374,39,1,44508,46499,45016,61656,4,0,Day
139,01-05-2009,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,Friday,6,7,30.0,0.0,536,35877,375,804,38403,1,0,94262,6788,45,0,30136,37055,37509,52622,9,0,Night
140,02-05-2009,Deccan Chargers,Rajasthan Royals,St George's Park,Rajasthan Royals,Saturday,1,2,25.0,2.0,824,51039,576,1236,55584,1,1,175117,6408,48,0,41129,54935,53411,65538,7,1,Night
141,02-05-2009,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,Chennai Super Kings,Saturday,7,5,32.0,0.0,500,38992,350,750,39729,1,1,73776,10446,20,0,38565,41441,40642,48986,2,0,Day
142,03-05-2009,Kolkata Knight Riders,Kings XI Punjab,St George's Park,Kings XI Punjab,Sunday,6,7,21.0,2.0,538,49134,376,807,44080,0,1,178376,1922,54,0,44939,50953,51189,67520,9,0,Night
143,03-05-2009,Mumbai Indians,Royal Challengers Bangalore,New Wanderers Stadium,Royal Challengers Bangalore,Sunday,6,6,23.0,1.0,449,26157,314,673,27443,1,1,187848,1419,89,0,22817,24119,23919,40538,4,1,Day
144,04-05-2009,Chennai Super Kings,Deccan Chargers,Buffalo Park,Chennai Super Kings,Monday,7,1,20.0,1.0,658,30955,460,987,26723,0,0,142787,19588,78,0,31729,29649,28641,41263,8,0,Night
145,05-05-2009,Rajasthan Royals,Kings XI Punjab,Kingsmead,Rajasthan Royals,Tuesday,2,7,33.0,1.0,690,39923,482,1035,41708,0,0,177948,11789,88,1,33097,38404,37140,51144,7,0,Night
146,05-05-2009,Kolkata Knight Riders,Delhi Daredevils,Kingsmead,Delhi Daredevils,Tuesday,6,5,31.0,0.0,467,46966,326,700,49964,0,0,105016,2120,52,0,48796,44617,44251,59056,7,1,Day
147,06-05-2009,Deccan Chargers,Mumbai Indians,SuperSport Park,Deccan Chargers,Wednesday,1,6,20.0,0.0,693,26082,485,1039,22378,1,0,190546,12260,70,1,22912,26160,26833,38851,8,0,Night
148,07-05-2009,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,Rajasthan Royals,Thursday,6,2,29.0,1.0,354,29240,247,531,25969,1,0,71959,18334,97,1,29886,29447,30618,34927,1,1,Day
149,07-05-2009,Chennai Super Kings,Kings XI Punjab,SuperSport Park,Chennai Super Kings,Thursday,7,7,24.0,1.0,329,26383,230,493,23804,1,0,186602,3336,31,0,25083,25627,24561,45739,5,0,Night
150,08-05-2009,Mumbai Indians,Delhi Daredevils,Buffalo Park,Delhi Daredevils,Friday,6,5,31.0,1.0,461,51020,322,691,45016,1,0,169101,6373,39,0,51360,49528,48998,60681,2,0,Day
151,09-05-2009,Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval,Kings XI Punjab,Saturday,1,7,30.0,0.0,729,27504,510,1093,28092,0,1,53748,3243,72,0,28769,29311,28139,41903,2,0,Night
152,09-05-2009,Rajasthan Royals,Chennai Super Kings,De Beers Diamond Oval,Chennai Super Kings,Saturday,2,7,34.0,1.0,916,24481,641,1374,22560,1,1,63545,5612,62,1,21349,25897,24645,31375,1,1,Day
153,10-05-2009,Mumbai Indians,Royal Challengers Bangalore,St George's Park,Mumbai Indians,Sunday,6,6,28.0,0.0,641,22697,448,961,21933,0,1,177659,14946,69,0,23611,21824,22176,35086,5,1,Day
154,10-05-2009,Kolkata Knight Riders,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,Sunday,6,5,22.0,1.0,435,50173,304,652,46427,0,1,123530,19249,48,1,45023,54325,54881,60095,2,1,Night
155,11-05-2009,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval,Deccan Chargers,Monday,1,2,32.0,0.0,909,48808,636,1363,47962,1,0,143557,12104,76,0,43750,53228,51434,67447,4,1,Day
156,12-05-2009,Kolkata Knight Riders,Royal Challengers Bangalore,SuperSport Park,Royal Challengers Bangalore,Tuesday,6,6,26.0,2.0,503,42069,352,754,44514,0,0,111087,14429,58,0,37235,40611,39529,53391,3,0,Night
157,12-05-2009,Kings XI Punjab,Mumbai Indians,SuperSport Park,Mumbai Indians,Tuesday,7,6,34.0,2.0,411,28390,287,616,26418,0,0,118840,7371,75,1,26554,27563,26250,43393,3,1,Night
158,13-05-2009,Delhi Daredevils,Deccan Chargers,Kingsmead,Delhi Daredevils,Wednesday,5,1,25.0,0.0,372,53502,260,558,56503,1,0,168451,7359,62,1,44863,53562,55356,61685,2,1,Day
159,14-05-2009,Chennai Super Kings,Royal Challengers Bangalore,Kingsmead,Royal Challengers Bangalore,Thursday,7,6,21.0,2.0,345,49650,241,517,43076,0,0,101005,8863,69,0,46592,54030,56594,58447,6,1,Day
160,14-05-2009,Rajasthan Royals,Mumbai Indians,Kingsmead,Rajasthan Royals,Thursday,2,6,27.0,0.0,805,21011,563,1207,21045,1,0,89353,4228,42,1,19654,22592,21768,31189,2,0,Day
161,15-05-2009,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,Kings XI Punjab,Friday,5,7,29.0,1.0,375,54058,262,562,56869,1,0,102733,15382,63,1,53543,49761,48424,72696,8,0,Day
162,16-05-2009,Mumbai Indians,Chennai Super Kings,St George's Park,Chennai Super Kings,Saturday,6,7,24.0,2.0,281,40772,196,421,41805,1,1,115318,19755,57,1,41114,39897,41366,55608,8,1,Day
163,16-05-2009,Kolkata Knight Riders,Deccan Chargers,New Wanderers Stadium,Deccan Chargers,Saturday,6,1,24.0,1.0,755,20977,528,1132,17876,0,1,117172,3891,42,1,19091,21200,22104,29945,5,1,Night
164,17-05-2009,Kings XI Punjab,Deccan Chargers,New Wanderers Stadium,Kings XI Punjab,Sunday,7,1,20.0,0.0,903,49781,632,1354,49268,0,1,143264,4756,64,1,43587,49812,49411,57497,7,0,Day
165,17-05-2009,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Delhi Daredevils,Sunday,5,2,34.0,1.0,659,40915,461,988,44518,1,1,76736,16770,71,0,35384,38409,36682,46105,4,1,Night
166,18-05-2009,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Kolkata Knight Riders,Monday,7,6,27.0,1.0,941,49298,658,1411,50242,0,0,162859,17478,99,0,41837,52835,50401,67809,1,1,Day
167,19-05-2009,Delhi Daredevils,Royal Challengers Bangalore,New Wanderers Stadium,Royal Challengers Bangalore,Tuesday,5,6,29.0,0.0,635,32590,444,952,29118,0,0,162181,3674,69,1,26541,33743,33992,38925,2,1,Day
168,20-05-2009,Rajasthan Royals,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,Wednesday,2,6,27.0,2.0,874,23167,611,1311,19946,0,0,181926,7898,27,0,20516,24732,24467,36348,4,1,Day
169,20-05-2009,Chennai Super Kings,Kings XI Punjab,Kingsmead,Chennai Super Kings,Wednesday,7,7,25.0,0.0,585,44192,409,877,39660,0,0,140084,11147,20,0,38339,47362,45129,62187,1,0,Night
170,21-05-2009,Mumbai Indians,Delhi Daredevils,SuperSport Park,Delhi Daredevils,Thursday,6,5,33.0,1.0,309,33400,216,463,29457,1,0,57392,1793,27,1,34789,35059,35350,49698,8,0,Day
171,21-05-2009,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,Royal Challengers Bangalore,Thursday,6,1,23.0,2.0,339,34848,237,508,35337,0,0,105680,3116,48,0,32737,34424,32741,40226,9,0,Night
172,22-05-2009,Delhi Daredevils,Deccan Chargers,SuperSport Park,Deccan Chargers,Friday,5,1,30.0,1.0,575,24232,402,862,25753,1,0,100859,6779,24,1,21489,24767,25478,41906,4,1,Night
173,23-05-2009,Chennai Super Kings,Royal Challengers Bangalore,New Wanderers Stadium,Royal Challengers Bangalore,Saturday,7,6,31.0,0.0,527,40960,368,790,36131,1,1,175657,13298,66,1,38711,38177,37438,49789,3,1,Night
174,24-05-2009,Deccan Chargers,Royal Challengers Bangalore,New Wanderers Stadium,Deccan Chargers,Sunday,1,6,25.0,0.0,797,37065,557,1195,35491,0,1,120467,15153,53,0,30941,38352,36588,48445,2,0,Day
175,12-03-2010,Kolkata Knight Riders,Deccan Chargers,Dr DY Patil Sports Academy,Kolkata Knight Riders,Friday,6,1,24.0,2.0,720,52218,503,1080,49492,0,0,148506,12111,84,1,47571,48868,49299,57833,5,0,Night
176,13-03-2010,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai Indians,Saturday,6,2,34.0,1.0,994,32249,695,1491,27590,1,1,159751,11789,74,1,30848,33499,33156,51079,3,0,Day
177,13-03-2010,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Saturday,7,5,34.0,2.0,219,34179,153,328,34012,1,1,168906,12397,62,1,31520,32330,33861,41509,7,1,Night
178,14-03-2010,Royal Challengers Bangalore,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Sunday,6,6,,,257,31733,179,385,28581,1,1,193760,13999,93,1,28573,29305,29434,51069,6,0,Day
179,14-03-2010,Deccan Chargers,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,Sunday,1,7,21.0,1.0,231,31914,161,346,33737,0,1,75342,1814,49,1,33460,29777,29107,38668,1,1,Night
180,15-03-2010,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils,Monday,2,5,24.0,1.0,637,50003,445,955,44637,0,0,156308,17729,36,0,51006,45022,45964,55466,8,1,Day
181,16-03-2010,Kings XI Punjab,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Tuesday,7,6,33.0,1.0,975,40495,682,1462,42475,1,0,156081,11541,45,0,38707,42266,41300,54653,2,0,Day
182,16-03-2010,Chennai Super Kings,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,Tuesday,7,6,,,642,48642,449,963,52011,0,0,139045,3443,27,1,45837,50902,52959,57909,5,0,Day
183,17-03-2010,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,Wednesday,6,5,30.0,1.0,780,40685,546,1170,43379,0,0,84698,11457,66,1,38860,40806,40294,48843,9,1,Night
184,18-03-2010,Rajasthan Royals,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Thursday,2,6,31.0,0.0,824,41927,576,1236,39480,1,0,160078,11380,95,0,35651,39087,39281,50551,8,0,Night
185,19-03-2010,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,Friday,5,7,29.0,1.0,503,50905,352,754,45014,1,0,130623,8783,91,1,45752,46665,44567,69339,2,0,Day
186,19-03-2010,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Deccan Chargers,Friday,1,7,30.0,0.0,508,28256,355,762,26363,0,0,72671,12473,65,0,22883,25538,25349,38194,9,1,Night
187,20-03-2010,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals,Saturday,2,6,30.0,0.0,776,38939,543,1164,36192,0,1,143384,18368,87,1,35780,36335,37542,49356,5,1,Night
188,20-03-2010,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Royal Challengers Bangalore,Saturday,6,6,21.0,2.0,458,49671,320,687,45678,1,1,136202,16328,52,1,46479,53553,55189,60675,6,1,Night
189,21-03-2010,Deccan Chargers,Delhi Daredevils,Barabati Stadium,Deccan Chargers,Sunday,1,5,29.0,0.0,623,36957,436,934,35485,0,1,101663,1827,20,1,31669,35046,34079,50838,3,1,Night
190,21-03-2010,Kings XI Punjab,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Sunday,7,7,30.0,2.0,657,52792,459,985,50049,0,1,65708,8147,38,1,54956,51253,49849,68606,3,1,Night
191,22-03-2010,Kolkata Knight Riders,Mumbai Indians,Brabourne Stadium,Mumbai Indians,Monday,6,6,23.0,0.0,856,48325,599,1284,42723,0,0,141906,5451,50,1,49647,44510,45922,58928,8,0,Night
192,23-03-2010,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Royal Challengers Bangalore,Tuesday,6,7,20.0,0.0,510,43661,357,765,46895,1,0,99811,16343,99,1,42811,41236,43010,50873,2,1,Night
193,24-03-2010,Rajasthan Royals,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Wednesday,2,7,31.0,0.0,641,48406,448,961,52357,1,0,183883,14635,33,1,45179,48592,46625,59526,2,1,Day
194,25-03-2010,Chennai Super Kings,Mumbai Indians,Brabourne Stadium,Mumbai Indians,Thursday,7,6,33.0,0.0,888,33296,621,1332,32699,1,0,106250,6959,72,0,33878,34013,33843,44114,5,1,Day
195,26-03-2010,Deccan Chargers,Rajasthan Royals,"Sardar Patel Stadium, Motera",Rajasthan Royals,Friday,1,2,21.0,0.0,928,51184,649,1392,49950,0,0,162547,1126,67,0,42619,48577,47787,56566,6,0,Night
196,27-03-2010,Kolkata Knight Riders,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Saturday,6,7,30.0,0.0,968,39125,677,1452,35763,1,1,174249,9795,88,0,39032,35664,36986,46381,2,1,Day
197,25-03-2010,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,Thursday,5,6,31.0,1.0,406,21021,284,609,17903,1,0,84754,12641,81,1,17472,20562,19705,38023,5,1,Day
198,28-03-2010,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals,Sunday,2,7,21.0,0.0,893,26514,625,1339,27306,1,1,192483,8196,85,1,26475,25104,24378,43209,7,1,Day
199,28-03-2010,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Mumbai Indians,Sunday,6,1,29.0,1.0,448,42095,313,672,44154,0,1,183983,12559,83,1,36578,39733,40736,48507,8,0,Night
200,29-03-2010,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,Monday,5,6,29.0,0.0,653,50697,457,979,49609,0,0,189752,4368,89,1,51674,55359,52875,65472,7,1,Night
201,30-03-2010,Kings XI Punjab,Mumbai Indians,Brabourne Stadium,Mumbai Indians,Tuesday,7,6,23.0,0.0,825,37605,577,1237,34137,1,0,134896,4797,82,1,38959,38479,38450,57164,8,1,Night
202,31-03-2010,Royal Challengers Bangalore,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Wednesday,6,7,30.0,1.0,795,26743,556,1192,28443,1,0,121295,16114,92,1,22389,27047,26890,37889,9,1,Night
203,31-03-2010,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,Wednesday,5,2,25.0,1.0,906,29789,634,1359,30075,1,0,150689,14718,52,1,27276,29287,28802,35160,5,0,Night
204,01-04-2010,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,Thursday,6,1,,,283,22967,198,424,23305,0,0,61111,2792,60,0,24006,22640,22401,33773,5,0,Day
205,02-04-2010,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Friday,7,6,32.0,1.0,664,34211,464,996,35750,0,0,87504,12053,67,1,31503,34490,34593,44776,4,0,Night
206,03-04-2010,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Saturday,7,2,34.0,1.0,336,25738,235,504,27690,1,1,182874,4476,32,0,26146,26749,25843,39540,9,0,Day
207,03-04-2010,Mumbai Indians,Deccan Chargers,Brabourne Stadium,Mumbai Indians,Saturday,6,1,23.0,0.0,993,44968,695,1489,48769,1,1,58155,4417,92,0,42592,46786,47122,58275,5,1,Night
208,04-04-2010,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Sunday,6,7,,,424,42062,296,636,42516,0,1,89384,2645,96,1,37596,39300,40500,54499,2,1,Day
209,04-04-2010,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,Sunday,5,6,24.0,1.0,565,29077,395,847,25966,1,1,162561,15755,50,1,25339,29077,29833,34523,8,0,Night
210,05-04-2010,Rajasthan Royals,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,Monday,2,1,34.0,2.0,415,34077,290,622,30563,0,0,97254,4072,94,0,28992,33476,32317,40468,7,0,Night
211,06-04-2010,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Tuesday,7,6,32.0,0.0,711,30106,497,1066,29791,1,0,71918,2854,87,0,29818,32337,31202,46622,8,1,Night
212,07-04-2010,Kings XI Punjab,Rajasthan Royals,Sawai Mansingh Stadium,Rajasthan Royals,Wednesday,7,2,24.0,0.0,223,41512,156,334,36830,0,0,135981,5662,23,1,37221,42603,41615,47852,3,1,Night
213,07-04-2010,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,Wednesday,6,5,,,805,43452,563,1207,41003,0,0,80306,7514,38,1,40315,43734,43126,61154,4,0,Night
214,08-04-2010,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,Thursday,6,1,27.0,2.0,329,41368,230,493,45220,0,0,197718,3708,89,0,38186,38185,37835,60464,5,0,Night
215,09-04-2010,Mumbai Indians,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Friday,6,7,24.0,0.0,829,40283,580,1243,42330,0,0,96843,12694,32,1,38040,41134,41873,48222,6,0,Day
216,10-04-2010,Chennai Super Kings,Deccan Chargers,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Saturday,7,1,26.0,0.0,972,30605,680,1458,33083,0,1,170975,10524,42,1,31106,28261,27008,48940,1,0,Night
217,10-04-2010,Kolkata Knight Riders,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,Saturday,6,6,22.0,2.0,712,24981,498,1068,26103,1,1,146601,7456,94,1,26109,24167,23042,41872,4,1,Day
218,11-04-2010,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,Sunday,5,7,33.0,2.0,671,38458,469,1006,41451,0,1,157512,5212,20,0,34685,35710,35324,58456,5,0,Night
219,11-04-2010,Mumbai Indians,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,Sunday,6,2,25.0,0.0,769,33818,538,1153,32289,1,1,197443,14224,73,0,34050,35117,35809,44787,7,0,Day
220,12-04-2010,Deccan Chargers,Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Jamtha",Deccan Chargers,Monday,1,6,26.0,0.0,433,21328,303,649,19414,0,0,161472,8970,90,0,21138,20074,19458,35593,5,1,Day
221,13-04-2010,Mumbai Indians,Delhi Daredevils,Brabourne Stadium,Mumbai Indians,Tuesday,6,5,34.0,0.0,276,42739,193,414,43971,1,0,183121,17920,34,1,40319,41814,42405,52552,1,1,Day
222,13-04-2010,Kolkata Knight Riders,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Tuesday,6,7,20.0,1.0,718,52786,502,1077,57732,0,0,153727,2625,84,1,54845,56963,55594,61355,7,1,Day
223,14-04-2010,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,Wednesday,2,6,26.0,1.0,906,30081,634,1359,29076,0,0,162893,11314,95,0,25572,28302,29394,40535,8,1,Day
224,15-04-2010,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Thursday,7,5,33.0,0.0,989,45723,692,1483,50268,0,0,70932,8973,90,0,37827,45794,47606,53873,7,1,Day
225,16-04-2010,Kings XI Punjab,Deccan Chargers,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,Friday,7,1,30.0,0.0,536,27270,375,804,24829,1,0,167796,9577,34,0,27637,26829,26285,42067,4,0,Night
226,17-04-2010,Mumbai Indians,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,Saturday,6,6,24.0,0.0,688,43519,481,1032,40986,0,1,79855,9070,40,1,39593,39324,38262,54933,8,0,Day
227,17-04-2010,Rajasthan Royals,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Saturday,2,6,,,736,44308,515,1104,45123,1,1,57400,9666,38,0,44828,46902,46485,53965,5,0,Night
228,18-04-2010,Kings XI Punjab,Chennai Super Kings,Himachal Pradesh Cricket Association Stadium,Chennai Super Kings,Sunday,7,7,26.0,0.0,699,44535,489,1048,38367,0,1,167858,4600,79,0,45571,40696,39640,56482,9,1,Night
229,18-04-2010,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Deccan Chargers,Sunday,1,5,27.0,2.0,547,23583,382,820,21562,1,1,65151,7783,52,1,19234,23461,23865,39069,5,0,Day
230,19-04-2010,Mumbai Indians,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,Monday,6,6,,,297,33451,207,445,29826,1,0,116690,14226,68,1,34148,33856,34959,46394,1,1,Day
231,21-04-2010,Mumbai Indians,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Mumbai Indians,Wednesday,6,6,33.0,1.0,677,20794,473,1015,18497,1,0,54499,10146,54,1,18965,21328,21697,29456,9,0,Night
232,22-04-2010,Chennai Super Kings,Deccan Chargers,Dr DY Patil Sports Academy,Chennai Super Kings,Thursday,7,1,28.0,2.0,511,34713,357,766,32115,1,0,56295,5971,63,0,32200,36022,37190,44195,5,0,Day
233,24-04-2010,Deccan Chargers,Royal Challengers Bangalore,Dr DY Patil Sports Academy,Royal Challengers Bangalore,Saturday,1,6,31.0,1.0,234,48766,163,351,44462,1,1,170885,14490,30,1,46651,46359,45881,58563,6,1,Day
234,25-04-2010,Chennai Super Kings,Mumbai Indians,Dr DY Patil Sports Academy,Chennai Super Kings,Sunday,7,6,23.0,2.0,803,27182,562,1204,24834,1,1,176071,18589,91,1,28040,24518,23675,47076,4,1,Day
235,08-04-2011,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Friday,7,6,21.0,0.0,771,43681,539,1156,42151,0,0,109040,13951,97,0,35153,45633,46718,53749,6,0,Day
236,09-04-2011,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Saturday,1,2,24.0,0.0,613,41419,429,919,39301,1,1,62183,13312,93,1,38072,41714,41131,51899,8,0,Day
237,09-04-2011,Kochi Tuskers Kerala,Royal Challengers Bangalore,Nehru Stadium,Royal Challengers Bangalore,Saturday,7,6,20.0,0.0,901,45828,630,1351,44675,0,1,193946,2990,85,0,44541,48908,49745,58861,3,0,Day
